"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
101,"Eisenstadt urban area <101>",2022,15240,388,7709,0.0515203824193334,10.7,43703.6748753167,2056.09598893499,0.032957069536912,"AT112",37400,20,42.88,355.410447761194,2457,42.7833333333333,85.85,3,4,79,65,19,9,20,103,"urban",295.6,1,1,2022,42.252712188896,198,2,13,0.300403654132144,0.656256639048226
102,"Rust urban area <102>",2022,1984,38,976,0.0376984126984127,10,38304.516039604,1224.13320754717,0.57450341612446,"AT112",37400,2,20.01,99.1504247876062,2012,53.4666666666667,600,0,0,8,5,1,0,0,410,"rural",204.5,0,0,2022,18.0674383492703,9,0,0,0,0
103,"Eisenstadt surroundings <103>",2022,44257,943,22019,0.0424048925263063,9.7,42748.6973956579,1191.95694215448,0.0577597909091301,"AT112",37400,25,453.14,97.6673875623428,1800,42.7833333333333,105.216666666667,1,0,118,59,23,1,7,310,"rural",146.4,0,0,2022,15.5280612814615,673,30,14,0.251939180255619,0.580894667254297
104,"G ssing <104>",2022,25668,635,13896,0.0539415562351342,7.6,37644.2673641568,921.890413630637,0.0146961999054149,"AT113",31000,34,485.34,52.88663617258,1283,67.3,600,0,0,70,42,5,1,7,430,"rural",24.4,0,0,2022,11.9568120254855,362,15,1,0.444730728616684,0.770665258711721
105,"Jennersdorf <105>",2022,17158,372,8761,0.0443015362629511,8.9,36311.6313196886,1059.22918899249,0.0920387559587866,"AT113",31000,18,253.34,67.7271650746033,1682,63.45,127.983333333333,0,0,37,38,6,1,5,430,"rural",20.1,0,0,2022,14.6674378253326,220,6,1,0.37569577225409,0.697556830252815
106,"Mattersburg <106>",2022,40593,1040,19900,0.050258541535785,9.1,40230.4527610503,1303.95205905957,0.0147774364018932,"AT112",37400,27,237.83,170.680738342514,1719,49.3833333333333,73,0,0,120,72,23,5,9,410,"rural",102.2,0,0,2022,18.3593081007022,581,16,9,0.38349930158158,0.758752759879241
107,"Neusiedl am See <107>",2022,60806,1263,31219,0.0426876668807246,11.4,39932.0142371453,1893.54277822145,0.11837339235505,"AT112",37400,47,1038.64,58.5438650543018,2224,43.55,79.5166666666667,1,0,207,120,31,3,21,430,"rural",177.7,0,0,2022,19.000987358573,780,36,9,0.0750834912016874,0.643722047536277
108,"Oberpullendorf <108>",2022,37524,719,19461,0.0398051265016885,8.2,39540.3800303596,1180.1614595242,0.00370042102372739,"AT111",30100,48,701.44,53.4956660583942,2148,69.2333333333333,600,0,0,115,67,19,8,10,430,"rural",27.4,0,0,2022,10.7386814932486,483,27,9,0.47499386573907,0.850324033312645
109,"Oberwart <109>",2022,54353,1636,27743,0.0614806463735438,8.5,37784.8558228451,831.670805561,0.0366216163103039,"AT113",31000,63,732.58,74.1939446886347,1326,70.4,600,0,0,150,116,27,8,21,420,"rural",30.3,0,0,2022,17.5482955579001,526,41,9,0.458612473721093,0.820953048353188
201,"Klagenfurt urban area <201>",2022,102618,3418,50568,0.0656676272814601,11.9,37856.1314018873,1062.35887415622,0.0298266452614079,"AT211",50200,74,120.12,854.295704295704,3572,0,0,11,9,402,217,69,17,39,101,"urban",164.7,2,1,2022,49.3336275798544,426,37,73,0.304782008605992,0.517171389136965
202,"Villach urban area <202>",2022,64071,2654,31513,0.0815160636402727,12.4,37931.6873480782,1547.35870264834,0.0259566806159578,"AT211",50200,34,134.99,474.635158159864,4139,37.05,54.3833333333333,2,2,171,107,29,5,27,102,"urban",171.7,0,0,2022,51.7943669338092,215,64,52,0.550413350846017,0.57745499497798
210,"Feldkirchen <210>",2022,29890,548,15076,0.0369920345619009,10.6,35510.8298419366,319.883655936205,0.0103891035429096,"AT212",35000,23,558.49,53.5193109993017,3408,29.3833333333333,40.9833333333333,0,0,74,51,20,2,7,410,"rural",75.2,0,0,2022,19.6777943863146,262,17,6,0.724362606232295,0.767882436260623
203,"Hermagor <203>",2022,18030,342,9501,0.0400984875131903,8.6,32308.120387926,632.015413660718,0.0139679444432288,"AT212",35000,15,808.13,22.3107668320691,6749,60.85,134.4,0,0,43,35,10,0,3,430,"rural",55.6,0,0,2022,15.0616056135698,139,22,10,0.793001275223164,0.817668091916085
204,"Klagenfurt rural area <204>",2022,60971,1271,30410,0.0415889532410589,11.2,39912.6704536054,518.163277029223,0.0104253842703307,"AT211",50200,29,765.64,79.6340316597879,4421,20.3833333333333,45.3333333333333,0,0,114,64,27,0,10,310,"rural",82.4,0,0,2022,16.7798791314405,684,58,18,0.602265642617427,0.717059970551952
205,"Sankt Veit an der Glan <205>",2022,53898,1116,27375,0.0420766881574482,8.8,36900.5523317991,579.300709204724,0.0223424778999526,"AT213",40200,39,1493.58,36.0864500060258,1811,27.1,45.9833333333333,3,1,150,78,28,4,11,410,"rural",53.2,0,0,2022,27.8625531128764,360,1,6,0.709005938790951,0.76775109301874
